"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 22 13:19:26 UTC 2026","Mon Jun 22 13:19:27 UTC 2026","579","tests.ui.page_tests","test_login","TestLogin","","","test_user_login[chromium-undefined_user-False]","Only registered user can log-in through UI"
"passed","Mon Jun 22 13:18:50 UTC 2026","Mon Jun 22 13:18:50 UTC 2026","494","tests.api","test_news","TestNews","","","test_edit_news[admin_session-200-Admin user should have access to create news]",""
"passed","Mon Jun 22 13:19:51 UTC 2026","Mon Jun 22 13:19:52 UTC 2026","653","tests.ui.e2e_tests","test_reading_news_flow","TestReadingNews","","","test_reading_news[chromium-None]","Any user can go through flow:
            - Home page
            - Category page
            - Category news page
            - News detail page
            - News
            - News detail page"
"passed","Mon Jun 22 13:19:50 UTC 2026","Mon Jun 22 13:19:51 UTC 2026","919","tests.ui.e2e_tests","test_edition_news_flow","TestEditionNews","","","test_edition_news[chromium-editor_user]","Any user can go through flow:
            - Home page
            - Category page
            - Category news page
            - News detail page
            - News
            - News detail page"
"passed","Mon Jun 22 13:19:06 UTC 2026","Mon Jun 22 13:19:07 UTC 2026","1149","tests.ui.page_tests","test_news_add","TestNewsAdd","","","test_news_add[chromium-editor_user]","Any user can see category page"
"passed","Mon Jun 22 13:19:33 UTC 2026","Mon Jun 22 13:19:35 UTC 2026","2181","tests.ui.page_tests","test_news_edit","TestNewsEdit","","","test_news_edit[chromium-admin_user]","Any user can see news page"
"passed","Mon Jun 22 13:18:10 UTC 2026","Mon Jun 22 13:18:11 UTC 2026","496","tests.api","test_auth","TestAuth","","","test_register","User can register in website"
"passed","Mon Jun 22 13:19:47 UTC 2026","Mon Jun 22 13:19:47 UTC 2026","633","tests.ui.page_tests","test_login","TestLogin","","","test_user_login[chromium-admin_user-True]","Only registered user can log-in through UI"
"passed","Mon Jun 22 13:19:46 UTC 2026","Mon Jun 22 13:19:47 UTC 2026","811","tests.ui.page_tests","test_news_detail","TestNewsDetail","","","test_news_detail_page[chromium-admin_user]","Any user can see category page"
"passed","Mon Jun 22 13:18:17 UTC 2026","Mon Jun 22 13:18:17 UTC 2026","831","tests.api","test_auth","TestAuth","","","test_login_user[editor_session-302-editor_user]","Only user with valid data can log-in"
"passed","Mon Jun 22 13:18:43 UTC 2026","Mon Jun 22 13:18:44 UTC 2026","496","tests.api","test_news","TestNews","","","test_create_news[admin_session-200-Admin user should have access to create news]","Only admin and editor users can create news"
